tweet,binaereKlassifikation,granulareKlassifikation,Wörter in Tweet,Wörter pro Tweet,Tweets ohne Satzzeichen,Wortlänge,Durchschnittliche Wortlänge,Verlinkungen,Verlinkung pro Tweet,Hashtags,Hashtags pro Tweet,utf Codes,utf Codes pro Tweet,Emojis,Emojis pro Tweet
"@rbbabendschau Nun, Eigentum verpflichtet, das Maximale aus diesem heraus zu holen, und die Politik tanzt passend dazu, singt das Lied der Mieterverarschungsbremse, und glotzen wichtig in jede Ferkelfunk Kamera...",OFFENSE,ABUSE,"['nun,', 'eigentum', 'verpflichtet,', 'das', 'maximale', 'aus', 'diesem', 'heraus', 'zu', 'holen,', 'und', 'die', 'politik', 'tanzt', 'passend', 'dazu,', 'singt', 'das', 'lied', 'der', 'mieterverarschungsbremse,', 'und', 'glotzen', 'wichtig', 'in', 'jede', 'ferkelfunk', 'kamera...']",28,"['Nun', 'Eigentum', 'verpflichtet', 'das', 'Maximale', 'aus', 'diesem', 'heraus', 'zu', 'holen', 'und', 'die', 'Politik', 'tanzt', 'passend', 'dazu', 'singt', 'das', 'Lied', 'der', 'Mieterverarschungsbremse', 'und', 'glotzen', 'wichtig', 'in', 'jede', 'Ferkelfunk', 'Kamera']","[3, 8, 12, 3, 8, 3, 6, 6, 2, 5, 3, 3, 7, 5, 7, 4, 5, 3, 4, 3, 24, 3, 7, 7, 2, 4, 10, 6]",5.82,['@rbbabendschau'],1,[],0,[],0,[],0
"@ZDFheute Birmingham hatte eine ganz andere Klasse, da war aber weniger Empörung im Ferkelfunk, falsche Täter Klientel...wie auch Wiesbaden, Korruption bei CDU SPD, und lautes Schweigen im Ferkelfunk, seltsam...ach weil es nicht die AfD ist",OFFENSE,ABUSE,"['birmingham', 'hatte', 'eine', 'ganz', 'andere', 'klasse,', 'da', 'war', 'aber', 'weniger', 'empörung', 'im', 'ferkelfunk,', 'falsche', 'täter', 'klientel...wie', 'auch', 'wiesbaden,', 'korruption', 'bei', 'cdu', 'spd,', 'und', 'lautes', 'schweigen', 'im', 'ferkelfunk,', 'seltsam...ach', 'weil', 'es', 'nicht', 'die', 'afd', 'ist']",34,"['Birmingham', 'hatte', 'eine', 'ganz', 'andere', 'Klasse', 'da', 'war', 'aber', 'weniger', 'Empörung', 'im', 'Ferkelfunk', 'falsche', 'Täter', 'Klientelwie', 'auch', 'Wiesbaden', 'Korruption', 'bei', 'CDU', 'SPD', 'und', 'lautes', 'Schweigen', 'im', 'Ferkelfunk', 'seltsamach', 'weil', 'es', 'nicht', 'die', 'AfD', 'ist']","[10, 5, 4, 4, 6, 6, 2, 3, 4, 7, 8, 2, 10, 7, 5, 11, 4, 9, 10, 3, 3, 3, 3, 6, 9, 2, 10, 10, 4, 2, 5, 3, 3, 3]",5.47,['@ZDFheute'],1,[],0,[],0,[],0
"@BR24 Wie viele werden durch Gas Unfälle getötet, und wie viele im Strassenverkehr? Aber Sensation bringt klicks...",OTHER,OTHER,"['wie', 'viele', 'werden', 'durch', 'gas', 'unfälle', 'getötet,', 'und', 'wie', 'viele', 'im', 'strassenverkehr?', 'aber', 'sensation', 'bringt', 'klicks...']",16,"['Wie', 'viele', 'werden', 'durch', 'Gas', 'Unfälle', 'getötet', 'und', 'wie', 'viele', 'im', 'Strassenverkehr', 'Aber', 'Sensation', 'bringt', 'klicks']","[3, 5, 6, 5, 3, 7, 7, 3, 3, 5, 2, 15, 4, 9, 6, 6]",5.56,['@BR24'],1,[],0,[],0,[],0
"@handelsblatt @AnjaKarliczek @AndreaNahlesSPD Da war Nahles lange nicht in den Medien, was soll man sagen, schöner wurde die dadurch nicht...",OFFENSE,INSULT,"['da', 'war', 'nahles', 'lange', 'nicht', 'in', 'den', 'medien,', 'was', 'soll', 'man', 'sagen,', 'schöner', 'wurde', 'die', 'dadurch', 'nicht...']",17,"['Da', 'war', 'Nahles', 'lange', 'nicht', 'in', 'den', 'Medien', 'was', 'soll', 'man', 'sagen', 'schöner', 'wurde', 'die', 'dadurch', 'nicht']","[2, 3, 6, 5, 5, 2, 3, 6, 3, 4, 3, 5, 7, 5, 3, 7, 5]",4.35,"['@handelsblatt', '@AnjaKarliczek', '@AndreaNahlesSPD']",3,[],0,[],0,[],0
"@focusonline Wie war noch der Stasi Auftrag von Ferkel, jeden der nicht die Ferkel Meinung vertritt lächerlich, mundtot machen, wie sich zeigt macht die Ferkel Presse genau das....",OFFENSE,ABUSE,"['wie', 'war', 'noch', 'der', 'stasi', 'auftrag', 'von', 'ferkel,', 'jeden', 'der', 'nicht', 'die', 'ferkel', 'meinung', 'vertritt', 'lächerlich,', 'mundtot', 'machen,', 'wie', 'sich', 'zeigt', 'macht', 'die', 'ferkel', 'presse', 'genau', 'das....']",27,"['Wie', 'war', 'noch', 'der', 'Stasi', 'Auftrag', 'von', 'Ferkel', 'jeden', 'der', 'nicht', 'die', 'Ferkel', 'Meinung', 'vertritt', 'lächerlich', 'mundtot', 'machen', 'wie', 'sich', 'zeigt', 'macht', 'die', 'Ferkel', 'Presse', 'genau', 'das']","[3, 3, 4, 3, 5, 7, 3, 6, 5, 3, 5, 3, 6, 7, 8, 10, 7, 6, 3, 4, 5, 5, 3, 6, 6, 5, 3]",4.96,['@focusonline'],1,[],0,[],0,[],0
"@ZDFhannover Und das ist das Baueropfer welches für Von der Leyen über die Klinge springen musste, damit man den Dreck auf eine Person abladen kann, und von der Leyen aus den Medien gehalten werden kann, es ist so billig und durchschaubar, klar das die Ferkelmedien es verbreiten",OFFENSE,ABUSE,"['und', 'das', 'ist', 'das', 'baueropfer', 'welches', 'für', 'von', 'der', 'leyen', 'über', 'die', 'klinge', 'springen', 'musste,', 'damit', 'man', 'den', 'dreck', 'auf', 'eine', 'person', 'abladen', 'kann,', 'und', 'von', 'der', 'leyen', 'aus', 'den', 'medien', 'gehalten', 'werden', 'kann,', 'es', 'ist', 'so', 'billig', 'und', 'durchschaubar,', 'klar', 'das', 'die', 'ferkelmedien', 'es', 'verbreiten']",46,"['Und', 'das', 'ist', 'das', 'Baueropfer', 'welches', 'für', 'Von', 'der', 'Leyen', 'über', 'die', 'Klinge', 'springen', 'musste', 'damit', 'man', 'den', 'Dreck', 'auf', 'eine', 'Person', 'abladen', 'kann', 'und', 'von', 'der', 'Leyen', 'aus', 'den', 'Medien', 'gehalten', 'werden', 'kann', 'es', 'ist', 'so', 'billig', 'und', 'durchschaubar', 'klar', 'das', 'die', 'Ferkelmedien', 'es', 'verbreiten']","[3, 3, 3, 3, 10, 7, 3, 3, 3, 5, 4, 3, 6, 8, 6, 5, 3, 3, 5, 3, 4, 6, 7, 4, 3, 3, 3, 5, 3, 3, 6, 8, 6, 4, 2, 3, 2, 6, 3, 13, 4, 3, 3, 12, 2, 10]",4.72,['@ZDFhannover'],1,[],0,[],0,[],0
"@hessenschau Komisch, wäre es die AfD gebe es schon Meldungen bei der Lügenschau, Tagesverarsche, Heuteglaubteskeiner, hier nur ein regionales Ereignis bei einem unwichtigen Sender der keine Reichweite noch Glaubwürdigkeit besitzt, schon erstaunlich wie Stasi Seilschaften funktionieren",OFFENSE,ABUSE,"['komisch,', 'wäre', 'es', 'die', 'afd', 'gebe', 'es', 'schon', 'meldungen', 'bei', 'der', 'lügenschau,', 'tagesverarsche,', 'heuteglaubteskeiner,', 'hier', 'nur', 'ein', 'regionales', 'ereignis', 'bei', 'einem', 'unwichtigen', 'sender', 'der', 'keine', 'reichweite', 'noch', 'glaubwürdigkeit', 'besitzt,', 'schon', 'erstaunlich', 'wie', 'stasi', 'seilschaften', 'funktionieren']",35,"['Komisch', 'wäre', 'es', 'die', 'AfD', 'gebe', 'es', 'schon', 'Meldungen', 'bei', 'der', 'Lügenschau', 'Tagesverarsche', 'Heuteglaubteskeiner', 'hier', 'nur', 'ein', 'regionales', 'Ereignis', 'bei', 'einem', 'unwichtigen', 'Sender', 'der', 'keine', 'Reichweite', 'noch', 'Glaubwürdigkeit', 'besitzt', 'schon', 'erstaunlich', 'wie', 'Stasi', 'Seilschaften', 'funktionieren']","[7, 4, 2, 3, 3, 4, 2, 5, 9, 3, 3, 10, 14, 19, 4, 3, 3, 10, 8, 3, 5, 11, 6, 3, 5, 10, 4, 15, 7, 5, 11, 3, 5, 12, 13]",6.69,['@hessenschau'],1,[],0,[],0,[],0
"@welt Wenn sie noch eine Nazi Keule brauchen, IM ERIKA hat noch eine im Schrank....",OFFENSE,ABUSE,"['wenn', 'sie', 'noch', 'eine', 'nazi', 'keule', 'brauchen,', 'im', 'erika', 'hat', 'noch', 'eine', 'im', 'schrank....']",14,"['Wenn', 'sie', 'noch', 'eine', 'Nazi', 'Keule', 'brauchen', 'IM', 'ERIKA', 'hat', 'noch', 'eine', 'im', 'Schrank']","[4, 3, 4, 4, 4, 5, 8, 2, 5, 3, 4, 4, 2, 7]",4.21,['@welt'],1,[],0,[],0,[],0
"@RegSprecher @peteraltmaier Wie der widerliche Lügenr sich wohl rasiert, der kann sich doch niemals selber in die Augen schauen ohne sich selbst ankotzen zu müssen....Alleine 976 Milliarden Euro Target 2 Salden strafen diesen Heuchler Lügen...",OFFENSE,INSULT,"['wie', 'der', 'widerliche', 'lügenr', 'sich', 'wohl', 'rasiert,', 'der', 'kann', 'sich', 'doch', 'niemals', 'selber', 'in', 'die', 'augen', 'schauen', 'ohne', 'sich', 'selbst', 'ankotzen', 'zu', 'müssen....alleine', '976', 'milliarden', 'euro', 'target', '2', 'salden', 'strafen', 'diesen', 'heuchler', 'lügen...']",33,"['Wie', 'der', 'widerliche', 'Lügenr', 'sich', 'wohl', 'rasiert', 'der', 'kann', 'sich', 'doch', 'niemals', 'selber', 'in', 'die', 'Augen', 'schauen', 'ohne', 'sich', 'selbst', 'ankotzen', 'zu', 'müssenAlleine', '976', 'Milliarden', 'Euro', 'Target', '2', 'Salden', 'strafen', 'diesen', 'Heuchler', 'Lügen']","[3, 3, 10, 6, 4, 4, 7, 3, 4, 4, 4, 7, 6, 2, 3, 5, 7, 4, 4, 6, 8, 2, 13, 3, 10, 4, 6, 1, 6, 7, 6, 8, 5]",5.3,"['@RegSprecher', '@peteraltmaier']",2,[],0,[],0,[],0
"@NDRnds Wie schön das die Gefängnisse Rekordumsätze vermelden, das wird Ferkel besonders freuen wenn es sich um ihre Fachkräfte handelt, hier lebenslang, wo anders 10 Jahre, Jungfernstieg auch lebenslang, und alle anderen importierten Mörder, das summiert sich....aber 87% wollen das so",OFFENSE,ABUSE,"['wie', 'schön', 'das', 'die', 'gefängnisse', 'rekordumsätze', 'vermelden,', 'das', 'wird', 'ferkel', 'besonders', 'freuen', 'wenn', 'es', 'sich', 'um', 'ihre', 'fachkräfte', 'handelt,', 'hier', 'lebenslang,', 'wo', 'anders', '10', 'jahre,', 'jungfernstieg', 'auch', 'lebenslang,', 'und', 'alle', 'anderen', 'importierten', 'mörder,', 'das', 'summiert', 'sich....aber', '87%', 'wollen', 'das', 'so']",40,"['Wie', 'schön', 'das', 'die', 'Gefängnisse', 'Rekordumsätze', 'vermelden', 'das', 'wird', 'Ferkel', 'besonders', 'freuen', 'wenn', 'es', 'sich', 'um', 'ihre', 'Fachkräfte', 'handelt', 'hier', 'lebenslang', 'wo', 'anders', '10', 'Jahre', 'Jungfernstieg', 'auch', 'lebenslang', 'und', 'alle', 'anderen', 'importierten', 'Mörder', 'das', 'summiert', 'sichaber', '87', 'wollen', 'das', 'so']","[3, 5, 3, 3, 11, 13, 9, 3, 4, 6, 9, 6, 4, 2, 4, 2, 4, 10, 7, 4, 10, 2, 6, 2, 5, 13, 4, 10, 3, 4, 7, 12, 6, 3, 8, 8, 2, 6, 3, 2]",5.7,['@NDRnds'],1,[],0,[],0,[],0
"@de_sputnik @MarcelJoppa Wäre die BRD eine Demokratie vielleicht, so nicht...",OFFENSE,ABUSE,"['wäre', 'die', 'brd', 'eine', 'demokratie', 'vielleicht,', 'so', 'nicht...']",8,"['Wäre', 'die', 'BRD', 'eine', 'Demokratie', 'vielleicht', 'so', 'nicht']","[4, 3, 3, 4, 10, 10, 2, 5]",5.12,"['@de_sputnik', '@MarcelJoppa']",2,[],0,[],0,[],0
"@polizei_nrw_ge Genau der Piotoitsche Gelsenkirchener...wie gut das der Stempel noch frisch ist, dann kann man das toitsch sein sogar noch riechen...",OFFENSE,ABUSE,"['genau', 'der', 'piotoitsche', 'gelsenkirchener...wie', 'gut', 'das', 'der', 'stempel', 'noch', 'frisch', 'ist,', 'dann', 'kann', 'man', 'das', 'toitsch', 'sein', 'sogar', 'noch', 'riechen...']",20,"['Genau', 'der', 'Piotoitsche', 'Gelsenkirchenerwie', 'gut', 'das', 'der', 'Stempel', 'noch', 'frisch', 'ist', 'dann', 'kann', 'man', 'das', 'toitsch', 'sein', 'sogar', 'noch', 'riechen']","[5, 3, 11, 18, 3, 3, 3, 7, 4, 6, 3, 4, 4, 3, 3, 7, 4, 5, 4, 7]",5.35,['@polizei_nrw_ge'],1,[],0,[],0,[],0
@ZDFheute Wer hat den die Heulsuse ausgebuddelt...,OFFENSE,INSULT,"['wer', 'hat', 'den', 'die', 'heulsuse', 'ausgebuddelt...']",6,"['Wer', 'hat', 'den', 'die', 'Heulsuse', 'ausgebuddelt']","[3, 3, 3, 3, 8, 12]",5.33,['@ZDFheute'],1,[],0,[],0,[],0
"@SWRAktuellBW Warum löst man nicht sofort diese Gerichte auf, wenn die nicht bereit sind Urteile zu fällen, nennt sich unnütze Fresser...",OFFENSE,INSULT,"['warum', 'löst', 'man', 'nicht', 'sofort', 'diese', 'gerichte', 'auf,', 'wenn', 'die', 'nicht', 'bereit', 'sind', 'urteile', 'zu', 'fällen,', 'nennt', 'sich', 'unnütze', 'fresser...']",20,"['Warum', 'löst', 'man', 'nicht', 'sofort', 'diese', 'Gerichte', 'auf', 'wenn', 'die', 'nicht', 'bereit', 'sind', 'Urteile', 'zu', 'fällen', 'nennt', 'sich', 'unnütze', 'Fresser']","[5, 4, 3, 5, 6, 5, 8, 3, 4, 3, 5, 6, 4, 7, 2, 6, 5, 4, 7, 7]",4.95,['@SWRAktuellBW'],1,[],0,[],0,[],0
"@Tagesspiegel Da Berlin Schmarotzer und Nehmerland ist, haben es die Geberländer bezahlt, na die freuen sich...",OFFENSE,ABUSE,"['da', 'berlin', 'schmarotzer', 'und', 'nehmerland', 'ist,', 'haben', 'es', 'die', 'geberländer', 'bezahlt,', 'na', 'die', 'freuen', 'sich...']",15,"['Da', 'Berlin', 'Schmarotzer', 'und', 'Nehmerland', 'ist', 'haben', 'es', 'die', 'Geberländer', 'bezahlt', 'na', 'die', 'freuen', 'sich']","[2, 6, 11, 3, 10, 3, 5, 2, 3, 11, 7, 2, 3, 6, 4]",5.2,['@Tagesspiegel'],1,[],0,[],0,[],0
"@TAG24LE Wenn sich Linke Linke zu Feinden machen, haben Linke linke Feinde...",OTHER,OTHER,"['wenn', 'sich', 'linke', 'linke', 'zu', 'feinden', 'machen,', 'haben', 'linke', 'linke', 'feinde...']",11,"['Wenn', 'sich', 'Linke', 'Linke', 'zu', 'Feinden', 'machen', 'haben', 'Linke', 'linke', 'Feinde']","[4, 4, 5, 5, 2, 7, 6, 5, 5, 5, 6]",4.91,['@TAG24LE'],1,[],0,[],0,[],0
"@NDRsh @ndr Nun, weil vdLeyen das Schmeirgeld wie Schäuble nicht zurück zahlen will, und sich dadurch erpressbar gemacht hat, wenn die Summen, Spender AUSVERSEHEN an die Öffentlichkeit gehen, Wahrheit geht so einfach und tut Nachricht weh...liebster Ferkelfunk",OFFENSE,ABUSE,"['nun,', 'weil', 'vdleyen', 'das', 'schmeirgeld', 'wie', 'schäuble', 'nicht', 'zurück', 'zahlen', 'will,', 'und', 'sich', 'dadurch', 'erpressbar', 'gemacht', 'hat,', 'wenn', 'die', 'summen,', 'spender', 'ausversehen', 'an', 'die', 'öffentlichkeit', 'gehen,', 'wahrheit', 'geht', 'so', 'einfach', 'und', 'tut', 'nachricht', 'weh...liebster', 'ferkelfunk']",35,"['Nun', 'weil', 'vdLeyen', 'das', 'Schmeirgeld', 'wie', 'Schäuble', 'nicht', 'zurück', 'zahlen', 'will', 'und', 'sich', 'dadurch', 'erpressbar', 'gemacht', 'hat', 'wenn', 'die', 'Summen', 'Spender', 'AUSVERSEHEN', 'an', 'die', 'Öffentlichkeit', 'gehen', 'Wahrheit', 'geht', 'so', 'einfach', 'und', 'tut', 'Nachricht', 'wehliebster', 'Ferkelfunk']","[3, 4, 7, 3, 11, 3, 8, 5, 6, 6, 4, 3, 4, 7, 10, 7, 3, 4, 3, 6, 7, 11, 2, 3, 14, 5, 8, 4, 2, 7, 3, 3, 9, 11, 10]",5.89,"['@NDRsh', '@ndr']",2,[],0,[],0,[],0
"@SWRAktuellBW Ein anderer hat eine 63 Jährige umgebracht, 10 Jahre Haft, die Gefängnisse füllen sich recht schnell mit Ferkels Gästen....",OFFENSE,ABUSE,"['ein', 'anderer', 'hat', 'eine', '63', 'jährige', 'umgebracht,', '10', 'jahre', 'haft,', 'die', 'gefängnisse', 'füllen', 'sich', 'recht', 'schnell', 'mit', 'ferkels', 'gästen....']",19,"['Ein', 'anderer', 'hat', 'eine', '63', 'Jährige', 'umgebracht', '10', 'Jahre', 'Haft', 'die', 'Gefängnisse', 'füllen', 'sich', 'recht', 'schnell', 'mit', 'Ferkels', 'Gästen']","[3, 7, 3, 4, 2, 7, 10, 2, 5, 4, 3, 11, 6, 4, 5, 7, 3, 7, 6]",5.21,['@SWRAktuellBW'],1,[],0,[],0,[],0
"@NDRinfo Nun, wie auch Schäuble will vdLeyen das Schwarzgeld nicht zurück geben welches zu ihrer Erblindung geführt hat...",OFFENSE,INSULT,"['nun,', 'wie', 'auch', 'schäuble', 'will', 'vdleyen', 'das', 'schwarzgeld', 'nicht', 'zurück', 'geben', 'welches', 'zu', 'ihrer', 'erblindung', 'geführt', 'hat...']",17,"['Nun', 'wie', 'auch', 'Schäuble', 'will', 'vdLeyen', 'das', 'Schwarzgeld', 'nicht', 'zurück', 'geben', 'welches', 'zu', 'ihrer', 'Erblindung', 'geführt', 'hat']","[3, 3, 4, 8, 4, 7, 3, 11, 5, 6, 5, 7, 2, 5, 10, 7, 3]",5.47,['@NDRinfo'],1,[],0,[],0,[],0
